text,textblob_sentiment,nltk_sentiment,"google_sentiment(sentiment,magnitude)"
#NeverCuomo https://t.co/SwGLjjFl40,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.20000000298023224,0.20000000298023224"
"RT @GovPhilScott: THREAD: Today, I’m calling all Vermonters into service with the launch of a new website allowing people to sign up for vo…","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",Positive,"-0.10000000149011612,0.10000000149011612"
"@MikaelaShiffrin @Bose @KindnessWinsFnd I loved the playlist, so much good muaic on it! Keep doing what you're doing, I think it's amazing everything you're doing to help with this pandemic","Sentiment(polarity=0.725, subjectivity=0.7666666666666667)",Positive,"0.8999999761581421,1.899999976158142"
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, César Chávez, we also thank the more than…","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224"
RT @OU_Libraries: A great read on how your libraries can make a difference in #FlattenTheCurve! #OUEmergingTech is using 3D print tech to c…,"Sentiment(polarity=1.0, subjectivity=0.75)",Positive,"0.30000001192092896,1.100000023841858"
RT @elenochle: Now comes the P-A-I-N https://t.co/IUFNsk6GVj https://t.co/AKYKZUddeJ,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
RT @GovAbbott: The Center for Medicaid and Medicare Services has approved the Section 1135 Medicaid Waiver submitted by @TexasHHSC on March…,"Sentiment(polarity=-0.1, subjectivity=0.1)",Positive,"0.0,0.0"
"RT @evangershkovich: Here’s a photo of Denis Protsenko, the head doctor of Moscow’s main hospital treating coronavirus patients, and Putin…","Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",Positive,"0.0,0.0"
"RT @vanitaguptaCR: Last night I tweeted about Patrick Jones – the first person to die in federal prison due to #COVID19. Tonight, I want to…","Sentiment(polarity=0.041666666666666664, subjectivity=0.2583333333333333)",Positive,"0.0,0.6000000238418579"
RT @reagandwalker: If the coronavirus were a person they’d definitely be the kid in high school who would call the cops on the parties they…,"Sentiment(polarity=0.08, subjectivity=0.52)",Positive,"-0.699999988079071,0.699999988079071"
"RT @smc429: Could the romance be over?💔
https://t.co/LHFmYQqdqo","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.0,0.0"
RT @RockstarGames: Rockstar Games and COVID-19 Relief https://t.co/9j6NrtcrFN,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
RT @JoJoFromJerz: @Yamiche https://t.co/U9cH3dLGKJ,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
"RT @NightlyPolitics: Over 130,000 Americans Sign Petition To End Live Coverage Of Trump's COVID-19 Press Briefings https://t.co/r09QMwNQdL","Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",Negative,"0.0,0.0"
RT @RockstarGames: Rockstar Games and COVID-19 Relief https://t.co/9j6NrtcrFN,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
"I'm 64 but need the bus service to get my food and I can't carry two weeks supply of food. Therefore, I usually ride the bus for food about two or three times per week. The grocery delivery services are too expensive however; I might try Walmart for one month. https://t.co/9K0XJrrUEO","Sentiment(polarity=-0.375, subjectivity=0.475)",Positive,"-0.20000000298023224,1.600000023841858"
"RT @JoeConchaTV: Dr. Fauci pushes back at Acosta questions around the U.S. not acting early. “In a perfect world, it would have been nice t…","Sentiment(polarity=0.34, subjectivity=0.45999999999999996)",Positive,"-0.10000000149011612,0.5"
"RT @TribulationThe: TYRANNY ABOUNDS during the #Coronavirus panic in America! BEWARE of COMMIES!

America Releases Murderers &amp; Child Rapist…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.30000001192092896,1.0"
"@NYGovCuomo is trying to roll back bail reform that is only about to finish its 3RD MONTH OF BEING IN EFFECT to racist ""dangerousness"" standard that has been rejected over and over because well, you know EXACTLY who will be labeled ""dangerous"" by judges.
https://t.co/dqNju4xw6X","Sentiment(polarity=-0.05833333333333333, subjectivity=0.35833333333333334)",Positive,"-0.20000000298023224,1.2000000476837158"
"RT @davidaxelrod: One of the people who called it the flu was the @POTUS.
One of the people who suggested pulling down the social distancin…","Sentiment(polarity=-0.06111111111111113, subjectivity=0.17777777777777778)",Negative,"-0.4000000059604645,0.800000011920929"
"@BBCNews These losers are really depressed they're not the center of attention during this pandemic, huh? They really have it so rough. SO ROUGH.","Sentiment(polarity=-0.016666666666666666, subjectivity=0.25)",Positive,"-0.30000001192092896,1.7000000476837158"
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment “diverted the attention of the govern…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
"RT @MaxBoot: We need N95 masks right now—not F-35 fighters. Our defense priorities are out of whack. 

Thanks to @ChrisRukan for the perfec…","Sentiment(polarity=0.24285714285714285, subjectivity=0.3678571428571429)",Positive,"-0.20000000298023224,2.0999999046325684"
RT @yikesiris: SOCIAL DISTANCING JUST GOT EXTENDED. THIS IS TO ALL U HOES WHO HAVE BEEN GOING OUT WHILE UNDER QUARANTINE. STAY THE FUCK AT…,"Sentiment(polarity=-0.18333333333333335, subjectivity=0.3333333333333333)",Positive,"-0.30000001192092896,1.100000023841858"
"RT @nakimayonnaise: [9 : Braix &amp; Lycan]
""ah.. don't you have any guardian?""
""...n... yes.. I have one..""

""She's my.. e.. elder sister... b…","Sentiment(polarity=-0.75, subjectivity=1.0)",Positive,"0.20000000298023224,1.5"
I’m going to be looking rough after this. I never realized how much my barber did for me. #StayAtHome #QuarantineLife #haircut #appreciate #barber,"Sentiment(polarity=0.05, subjectivity=0.30000000000000004)",Positive,"0.20000000298023224,2.0999999046325684"
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, César Chávez, we also thank the more than…","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224"
RT @paperdragun: she prolly don’t even know about the coronavirus https://t.co/E7PU5BY8yZ,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.5,0.5"
RT @AprilDRyan: But wait didn't the president @realDonaldTrump  early on compare this to the flu and now he is changing his words like he s…,"Sentiment(polarity=0.1, subjectivity=0.3)",Positive,"-0.5,0.5"
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment “diverted the attention of the govern…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
RT @funder: Moscow Mitch McConnell says everyone was distracted with impeachment and that’s why Trump failed with his coronavirus response.…,"Sentiment(polarity=-0.5, subjectivity=0.3)",Positive,"-0.6000000238418579,0.6000000238418579"
"RT @TeaPainUSA: Trump’s new lie is that he’s the Corona Whisperer and he alone saw and acted before anyone else.

Guess what?  MAGA will be…","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",Positive,"-0.30000001192092896,1.100000023841858"
RT @StaceyGeis: The bitter irony is that many of those with compromised respiratory systems that make this pandemic that much more dangerou…,"Sentiment(polarity=0.3, subjectivity=0.5)",Negative,"-0.8999999761581421,0.8999999761581421"
"RT @DavidPepper: With the nation failing to protect our front-line heroes as they save lives, can we at least let them protect themselves?!","Sentiment(polarity=-0.375, subjectivity=0.4)",Positive,"-0.6000000238418579,0.6000000238418579"
"RT @RealSaavedra: This is why China is 100% responsible for this

Not only could they have stopped the outbreak from leaving their borders…","Sentiment(polarity=0.1, subjectivity=0.775)",Negative,"0.20000000298023224,0.5"
"RT @DavidLat: Achievement unlocked: no longer on oxygen! We tapered it down gradually after I was extubated last week, and last night while…","Sentiment(polarity=-0.051851851851851864, subjectivity=0.14074074074074075)",Positive,"-0.5,1.100000023841858"
RT @RSherman_25: So government officials tell everyone to stay at home or stay 6ft away from other ppl while they are on camera doing exact…,"Sentiment(polarity=-0.125, subjectivity=0.375)",Positive,"-0.30000001192092896,0.30000001192092896"
"RT @ScottPresler: @JoeBiden I’m only here for the ratio. 

Maybe you shouldn’t be begging for money during a pandemic.","Sentiment(polarity=0.0, subjectivity=1.0)",Positive,"-0.4000000059604645,0.8999999761581421"
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, César Chávez, we also thank the more than…","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224"
RT @dbongino: There’s nothing unusual about CNN refusing to air portions of the presidential press briefings on the Wuhan Virus. CNN isn’t…,"Sentiment(polarity=0.2, subjectivity=1.0)",Positive,"-0.5,1.100000023841858"
@byKateSmith @ReproRights Great! Killing babies! Just lump them in with the rest of the Corona virus deaths! Lord gave mercy!!,"Sentiment(polarity=1.0, subjectivity=0.75)",Positive,"0.10000000149011612,1.2000000476837158"
"RT @jsolomonReports: About face on chloroquine. Nevada governor reverses decision, allows anti-malarial drugs for coronavirus inpatients ht…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.30000001192092896"
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, César Chávez, we also thank the more than…","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224"
RT @ChiefBPartridge: You have the power to flatten the curve. Social distancing and good hygiene is the way. Do your part. #SocialDistancin…,"Sentiment(polarity=0.36666666666666664, subjectivity=0.33333333333333337)",Positive,"0.30000001192092896,1.2000000476837158"
RT @chrislhayes: Another example (as if we needed any more!) of why you can't just let the virus do its thing. Imagine this number w no soc…,"Sentiment(polarity=0.625, subjectivity=0.5)",Positive,"-0.4000000059604645,0.8999999761581421"
RT @KatiePavlich: Dr. Birx says we were missing a significant amount of data from China. Sad she has to explain this obvious point to repor…,"Sentiment(polarity=-0.08125, subjectivity=0.60625)",Negative,"-0.699999988079071,1.5"
@henrykleeKTVU @KTVU @UPS Why would that ups guy even take the handmade mask from the lady? How does he know if the mask is clean or made by clean hands? I thought FDA said masks won't protect us from getting covid. https://t.co/QQ9JxrKGAD,"Sentiment(polarity=0.3666666666666667, subjectivity=0.7000000000000001)",Negative,"-0.20000000298023224,1.600000023841858"
"RT @suzydymna: @realDonaldTrump It's plain as day now, Democrats WANT people to suffer and even die JUST so the figures for Wuhan CoronaVir…","Sentiment(polarity=-0.21428571428571427, subjectivity=0.35714285714285715)",Negative,"-0.699999988079071,0.699999988079071"
"@LaloDagach Testing has ramped up significantly, but it's the anatomy of a pandemic, social distancing isn't being observed.","Sentiment(polarity=0.20416666666666666, subjectivity=0.4708333333333333)",Negative,"0.0,0.0"
Que en paz descanse https://t.co/JTDxlnjSVn,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.6000000238418579,0.6000000238418579"
"RT @imagesbyeric: That is such bullshit @senatemajldr , it was republican propaganda that distracted people, just long enough for u senator…","Sentiment(polarity=-0.037500000000000006, subjectivity=0.375)",Negative,"-0.8999999761581421,0.8999999761581421"
this me af😂😂💯💯💯 https://t.co/DfLCHIGgk3,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
"Coronavirus outbreak taking huge toll on China’s economy, World Bank warns - FRANCE 24 English https://t.co/QUFW7br5AD","Sentiment(polarity=0.20000000000000004, subjectivity=0.45)",Negative,"-0.800000011920929,0.800000011920929"
RT @KatiePavlich: Mayors or governors threatening jail time for violations of stay-at-home orders while they let criminals out of jail beca…,"Sentiment(polarity=-0.1, subjectivity=0.0)",Negative,"-0.699999988079071,0.699999988079071"
RT @terfhearse: this just in: nb people are immune to covid https://t.co/dcMMjLMs6e,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.30000001192092896,0.30000001192092896"
RT @pushforward40: Things just aren't adding up when our government tells us to expect 100K to 200k coronavirus deaths within the next 2 we…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
"RT @news_flea: Why Didn't CDC Know This!?
@WeStand4theFlag
@kmc_usa
@aliatra1968
@koi529
@Shawna_7777
@riedamiani65
@LindaTerhune
@saturngu…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.6000000238418579"
Applications for Covid Relief Loans at 0.5 Percent Expected Friday https://t.co/TLBPKTT59f https://t.co/y6MWy5TsYy,"Sentiment(polarity=-0.1, subjectivity=0.4)",Positive,"0.0,0.0"
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment “diverted the attention of the govern…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
"RT @W7VOA: #COVID19 is going to be ""circulating in other parts as we're going down,"" thus US needs to be vigilant about a seasonal second w…","Sentiment(polarity=-0.09351851851851851, subjectivity=0.22129629629629632)",Positive,"-0.699999988079071,0.699999988079071"
"RT @realDonaldTrump: Great work @AtlasAirWW, thank you!","Sentiment(polarity=1.0, subjectivity=0.75)",Positive,"0.6000000238418579,0.6000000238418579"
"RT @duty2warn: ""We've seen all too terribly the consequences of those who denied warnings of a pandemic. We … have to demand better of our…","Sentiment(polarity=-0.25, subjectivity=0.75)",Positive,"-0.4000000059604645,1.399999976158142"
RT @GRMcVicar: Grand Rapids residents team up to help retailers amid coronavirus pandemic https://t.co/q0PJTLzn1q,"Sentiment(polarity=0.5, subjectivity=1.0)",Positive,"0.20000000298023224,0.20000000298023224"
"RT @SenKamalaHarris: We must suspend wage garnishment, car repossessions, credit card interest and penalties, and any negative credit repor…","Sentiment(polarity=-0.3, subjectivity=0.4)",Negative,"-0.5,0.5"
"RT @kylegriffin1: One former W.H. official said Trump's reelection campaign advisors are terrified that the coronavirus outbreak, which so…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579"
"RT @MCoDems: This is a GREAT idea. We're all in this together. Take care of each other.

#Demcast #TakeItSeriously #FlattenTheCurve #COVID19","Sentiment(polarity=0.3375, subjectivity=0.5625)",Positive,"0.4000000059604645,1.899999976158142"
"RT @jsolomonReports: Breaking: White House predicts 100,000 to 200,000 coronavirus deaths. ‘Very painful two weeks ahead,’ Trump warns. htt…","Sentiment(polarity=-0.45499999999999996, subjectivity=0.5)",Negative,"-0.20000000298023224,1.2000000476837158"
"The April 1 FEA President's Report has suggestions for online teaching and info to help talk with kids about COVID-19
https://t.co/LFzyG6uXM7","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.10000000149011612,0.10000000149011612"
