text,textblob_sentiment,nltk_sentiment,google_sentiment,Researcher_label
"RT @janicewasabi: Prince Edward tonight:
police stopped passerby and demanded 5 random people to stand in a group, then charged them all imâ€¦","Sentiment(polarity=-0.5, subjectivity=0.5)",Negative,"-0.699999988079071,0.699999988079071",Negative
"Those arenâ€™t thoughts, theyâ€™re literally the echo of a child, split into binary outcomes.

â€œCould be good.â€
â€œCould be bad.â€

Step aside, Friedrich Nietzsche! https://t.co/Z0oMXFMwMz","Sentiment(polarity=-0.08749999999999991, subjectivity=0.6333333333333333)",Negative,"-0.10000000149011612,2.0999999046325684",Neutral
"RT @seanhannity: SAY WHAT? Biden Labels Trumpâ€™s Virus Restrictions â€˜Hysterical Xenophobia,â€™ Calls CVS â€˜CVCâ€™ and Wuhan â€˜Luhanâ€™ https://t.co/â€¦","Sentiment(polarity=-1.0, subjectivity=1.0)",Positive,"0.0,0.20000000298023224",Negative
"RT @MrJonCryer: Sorry, but months into a pandemic is too late to care about a change in â€œtoneâ€","Sentiment(polarity=-0.4, subjectivity=0.8)",Negative,"-0.800000011920929,0.800000011920929",Negative
"RT @ashahshahani: BREAKING: an employee at the deadly Stewart Detention Center has tested positive for COVID-19.

It is now even more urgenâ€¦","Sentiment(polarity=0.10681818181818181, subjectivity=0.38636363636363635)",Negative,"-0.30000001192092896,0.699999988079071",Negative
RT @RollaElabbasi: @NYGovCuomo Many listed #Essential businesses are actually #NonEssential. #StopTheSpread by having a full lockdown for #â€¦,"Sentiment(polarity=0.2125, subjectivity=0.36250000000000004)",Positive,"-0.10000000149011612,0.30000001192092896",Neutral
"RT @maddow: In addition to the ventilators HHS hasn't told them to send anywhere, DOD also has more than a dozen labs that could process COâ€¦","Sentiment(polarity=0.5, subjectivity=0.5)",Negative,"-0.20000000298023224,0.20000000298023224",Negative
"As Trump stands there saying "" Here.  Hold my beer. "" https://t.co/9KgFArzBV4","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.10000000149011612",Neutral
"RT @EricBoehlert: it's distressing to see some journalists clinging to idea there's still hope Trump will lead the nation during pandemic,â€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.699999988079071,0.699999988079071",Negative
@ASavageNation featured on Netflix thinks he has found 'cure' for coronavirus https://t.co/VwmTZddIpR @MailOnline,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.10000000149011612,0.10000000149011612",Negative
RT @DanCrenshawTX: Lies.  Propaganda. The CCP has tried to make itself the victim - and the hero - while deceiving the world about the origâ€¦,"Sentiment(polarity=-0.08750000000000001, subjectivity=0.07500000000000001)",Positive,"-0.30000001192092896,1.5",Negative
"RT @MPI: Steve O'Malley, MPI Board Chair of the International Board of Directors, speaks to the role of the board during these uncertain tiâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Neutral
"RT @PrisonPlanet: Chinese factory worker rubbing face masks on his shoes in display of global unity over corona pandemic. All hail CCP.

htâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,1.100000023841858",Negative
"RT @JoeBiden: In the midst of a pandemic, the Trump Administration chose to expend effort to attempt to disestablish the Mashpee Wampanoagâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.30000001192092896,0.30000001192092896",Negative
"#Tucker calling out @WHO as a mouthpiece of China! They kiss Chinese ass everyday. CHINA LIED, PEOPLE DIED! ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡","Sentiment(polarity=-0.125, subjectivity=0.3)",Negative,"-0.10000000149011612,1.399999976158142",Negative
RT @JoeNBC: Can anyone explain why Ron DeSantis has been so reckless during the crisis? Heâ€™s playing with fire and the deaths of so many Flâ€¦,"Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"-0.800000011920929,1.600000023841858",Negative
@bio23_bi3 @CalebJHull And China is why we are in this mess.,"Sentiment(polarity=-0.175, subjectivity=0.175)",Negative,"-0.699999988079071,0.699999988079071",Negative
Hope so https://t.co/i8SalLe5FN,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.4000000059604645,0.4000000059604645",Negative
RT @ElginPD: We are going through neighborhoods for a socially distant parade of public safety vehicles 2x/week during the #StayatHome ordeâ€¦,"Sentiment(polarity=-0.11666666666666665, subjectivity=0.21666666666666665)",Negative,"0.0,0.0",Positve
"RT @NorbertElekes: NEW: 101-year-old Dutch woman, who was born during the Spanish flu, has recovered from coronavirus illness. https://t.coâ€¦","Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",Negative,"0.10000000149011612,0.30000001192092896",Positve
"RT @Lrihendry: Folks, remember that CNN decided not to allow the President of the United States to inform the American people on the coronaâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
RT @jgeltzer: â€œThe problem wasnâ€™t impeachmentâ€”it was the president. There was never any chance that the govt was going to take sufficient aâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.5,1.100000023841858",Negative
Nancyâ€™s â€œVirus pensâ€ filled with Covid-19 ink. https://t.co/Fb6l05tffD,"Sentiment(polarity=0.4, subjectivity=0.9)",Negative,"0.0,0.800000011920929",Negative
RT @MedSupplyDrive: @ProjectPPEact pays laid off garment workers to cut and sew gowns that are essential pieces of PPE for medical professiâ€¦,"Sentiment(polarity=0.0, subjectivity=0.15)",Negative,"-0.20000000298023224,0.20000000298023224",Positve
Good! I hope Fox finally gets what it deserves. https://t.co/mHOUrXsOgx,"Sentiment(polarity=0.4375, subjectivity=0.8)",Positive,"0.20000000298023224,1.7999999523162842",Negative
"RT @eugenegu: @realDonaldTrump And right now in the middle of the worst pandemic in modern history, people are not at all concerned about bâ€¦","Sentiment(polarity=-0.12857142857142856, subjectivity=0.4589285714285714)",Negative,"-0.699999988079071,0.699999988079071",Negative
RT @joncoopertweets: Fox News purportedly bracing for â€œlegal bloodbathâ€ after peddling coronavirus disinformation  https://t.co/IRjjvq0ty7,"Sentiment(polarity=0.2, subjectivity=0.2)",Negative,"-0.6000000238418579,0.6000000238418579",Negative
Please remind everyone!!! https://t.co/WFuo2ZmMlD,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.5",Neutral
"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN â¬‡ï¸

""I want to keep the country calm.""

The coronavirus ""will go away.""

""We'reâ€¦","Sentiment(polarity=0.30000000000000004, subjectivity=0.75)",Positive,"0.0,1.2999999523162842",Positve
"RT @BlueTX2020: Too distracted to deal with  #coronavirus but not too distracted to hold multiple rallies or play 6 rounds of golf. 

#COVIâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.0,0.4000000059604645",Negative
"RT @rww_gop: .@realdonaldtrump is committed to fighting for small businesses.
 
Here are the details of how small-business owners can accesâ€¦","Sentiment(polarity=-0.25, subjectivity=0.4)",Positive,"0.0,0.699999988079071",Positve
RT @1800PetMeds: 19 Pets Who Are Saving Their Owners From Lockdown Boredom - https://t.co/Yfu05cDbzl,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.20000000298023224",Positve
RT @funder: Donald Trump should be arrested for his fraud and lies regarding coronavirus.,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.800000011920929,0.800000011920929",Negative
#NeverCuomo https://t.co/SwGLjjFl40,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.20000000298023224,0.20000000298023224",Neutral
"RT @GovPhilScott: THREAD: Today, Iâ€™m calling all Vermonters into service with the launch of a new website allowing people to sign up for voâ€¦","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",Positive,"-0.10000000149011612,0.10000000149011612",Positve
"@MikaelaShiffrin @Bose @KindnessWinsFnd I loved the playlist, so much good muaic on it! Keep doing what you're doing, I think it's amazing everything you're doing to help with this pandemic","Sentiment(polarity=0.725, subjectivity=0.7666666666666667)",Positive,"0.8999999761581421,1.899999976158142",Positve
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, CÃ©sar ChÃ¡vez, we also thank the more thanâ€¦","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224",Positve
RT @OU_Libraries: A great read on how your libraries can make a difference in #FlattenTheCurve! #OUEmergingTech is using 3D print tech to câ€¦,"Sentiment(polarity=1.0, subjectivity=0.75)",Positive,"0.30000001192092896,1.100000023841858",Positve
RT @elenochle: Now comes the P-A-I-N https://t.co/IUFNsk6GVj https://t.co/AKYKZUddeJ,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Negative
RT @GovAbbott: The Center for Medicaid and Medicare Services has approved the Section 1135 Medicaid Waiver submitted by @TexasHHSC on Marchâ€¦,"Sentiment(polarity=-0.1, subjectivity=0.1)",Positive,"0.0,0.0",Neutral
"RT @evangershkovich: Hereâ€™s a photo of Denis Protsenko, the head doctor of Moscowâ€™s main hospital treating coronavirus patients, and Putinâ€¦","Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",Positive,"0.0,0.0",Negative
"RT @vanitaguptaCR: Last night I tweeted about Patrick Jones â€“ the first person to die in federal prison due to #COVID19. Tonight, I want toâ€¦","Sentiment(polarity=0.041666666666666664, subjectivity=0.2583333333333333)",Positive,"0.0,0.6000000238418579",Negative
RT @reagandwalker: If the coronavirus were a person theyâ€™d definitely be the kid in high school who would call the cops on the parties theyâ€¦,"Sentiment(polarity=0.08, subjectivity=0.52)",Positive,"-0.699999988079071,0.699999988079071",Negative
"RT @smc429: Could the romance be over?ðŸ’”
https://t.co/LHFmYQqdqo","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.0,0.0",Negative
RT @RockstarGames: Rockstar Games and COVID-19 Relief https://t.co/9j6NrtcrFN,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Positve
RT @JoJoFromJerz: @Yamiche https://t.co/U9cH3dLGKJ,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Negative
"RT @NightlyPolitics: Over 130,000 Americans Sign Petition To End Live Coverage Of Trump's COVID-19 Press Briefings https://t.co/r09QMwNQdL","Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",Negative,"0.0,0.0",Neutral
RT @RockstarGames: Rockstar Games and COVID-19 Relief https://t.co/9j6NrtcrFN,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Positve
"I'm 64 but need the bus service to get my food and I can't carry two weeks supply of food. Therefore, I usually ride the bus for food about two or three times per week. The grocery delivery services are too expensive however; I might try Walmart for one month. https://t.co/9K0XJrrUEO","Sentiment(polarity=-0.375, subjectivity=0.475)",Positive,"-0.20000000298023224,1.600000023841858",Neutral
"RT @JoeConchaTV: Dr. Fauci pushes back at Acosta questions around the U.S. not acting early. â€œIn a perfect world, it would have been nice tâ€¦","Sentiment(polarity=0.34, subjectivity=0.45999999999999996)",Positive,"-0.10000000149011612,0.5",Negative
"RT @TribulationThe: TYRANNY ABOUNDS during the #Coronavirus panic in America! BEWARE of COMMIES!

America Releases Murderers &amp; Child Rapistâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.30000001192092896,1.0",Negative
"@NYGovCuomo is trying to roll back bail reform that is only about to finish its 3RD MONTH OF BEING IN EFFECT to racist ""dangerousness"" standard that has been rejected over and over because well, you know EXACTLY who will be labeled ""dangerous"" by judges.
https://t.co/dqNju4xw6X","Sentiment(polarity=-0.05833333333333333, subjectivity=0.35833333333333334)",Positive,"-0.20000000298023224,1.2000000476837158",Negative
"RT @davidaxelrod: One of the people who called it the flu was the @POTUS.
One of the people who suggested pulling down the social distancinâ€¦","Sentiment(polarity=-0.06111111111111113, subjectivity=0.17777777777777778)",Negative,"-0.4000000059604645,0.800000011920929",Negative
"@BBCNews These losers are really depressed they're not the center of attention during this pandemic, huh? They really have it so rough. SO ROUGH.","Sentiment(polarity=-0.016666666666666666, subjectivity=0.25)",Positive,"-0.30000001192092896,1.7000000476837158",Negative
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment â€œdiverted the attention of the governâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
"RT @MaxBoot: We need N95 masks right nowâ€”not F-35 fighters. Our defense priorities are out of whack. 

Thanks to @ChrisRukan for the perfecâ€¦","Sentiment(polarity=0.24285714285714285, subjectivity=0.3678571428571429)",Positive,"-0.20000000298023224,2.0999999046325684",Negative
RT @yikesiris: SOCIAL DISTANCING JUST GOT EXTENDED. THIS IS TO ALL U HOES WHO HAVE BEEN GOING OUT WHILE UNDER QUARANTINE. STAY THE FUCK ATâ€¦,"Sentiment(polarity=-0.18333333333333335, subjectivity=0.3333333333333333)",Positive,"-0.30000001192092896,1.100000023841858",Negative
"RT @nakimayonnaise: [9 : Braix &amp; Lycan]
""ah.. don't you have any guardian?""
""...n... yes.. I have one..""

""She's my.. e.. elder sister... bâ€¦","Sentiment(polarity=-0.75, subjectivity=1.0)",Positive,"0.20000000298023224,1.5",
Iâ€™m going to be looking rough after this. I never realized how much my barber did for me. #StayAtHome #QuarantineLife #haircut #appreciate #barber,"Sentiment(polarity=0.05, subjectivity=0.30000000000000004)",Positive,"0.20000000298023224,2.0999999046325684",Positve
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, CÃ©sar ChÃ¡vez, we also thank the more thanâ€¦","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224",Positve
RT @paperdragun: she prolly donâ€™t even know about the coronavirus https://t.co/E7PU5BY8yZ,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.5,0.5",Negative
RT @AprilDRyan: But wait didn't the president @realDonaldTrump  early on compare this to the flu and now he is changing his words like he sâ€¦,"Sentiment(polarity=0.1, subjectivity=0.3)",Positive,"-0.5,0.5",Negative
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment â€œdiverted the attention of the governâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
RT @funder: Moscow Mitch McConnell says everyone was distracted with impeachment and thatâ€™s why Trump failed with his coronavirus response.â€¦,"Sentiment(polarity=-0.5, subjectivity=0.3)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
"RT @TeaPainUSA: Trumpâ€™s new lie is that heâ€™s the Corona Whisperer and he alone saw and acted before anyone else.

Guess what?  MAGA will beâ€¦","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",Positive,"-0.30000001192092896,1.100000023841858",Negative
RT @StaceyGeis: The bitter irony is that many of those with compromised respiratory systems that make this pandemic that much more dangerouâ€¦,"Sentiment(polarity=0.3, subjectivity=0.5)",Negative,"-0.8999999761581421,0.8999999761581421",Negative
"RT @DavidPepper: With the nation failing to protect our front-line heroes as they save lives, can we at least let them protect themselves?!","Sentiment(polarity=-0.375, subjectivity=0.4)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
"RT @RealSaavedra: This is why China is 100% responsible for this

Not only could they have stopped the outbreak from leaving their bordersâ€¦","Sentiment(polarity=0.1, subjectivity=0.775)",Negative,"0.20000000298023224,0.5",Negative
"RT @DavidLat: Achievement unlocked: no longer on oxygen! We tapered it down gradually after I was extubated last week, and last night whileâ€¦","Sentiment(polarity=-0.051851851851851864, subjectivity=0.14074074074074075)",Positive,"-0.5,1.100000023841858",Positve
RT @RSherman_25: So government officials tell everyone to stay at home or stay 6ft away from other ppl while they are on camera doing exactâ€¦,"Sentiment(polarity=-0.125, subjectivity=0.375)",Positive,"-0.30000001192092896,0.30000001192092896",Negative
"RT @ScottPresler: @JoeBiden Iâ€™m only here for the ratio. 

Maybe you shouldnâ€™t be begging for money during a pandemic.","Sentiment(polarity=0.0, subjectivity=1.0)",Positive,"-0.4000000059604645,0.8999999761581421",Negative
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, CÃ©sar ChÃ¡vez, we also thank the more thanâ€¦","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224",Positve
RT @dbongino: Thereâ€™s nothing unusual about CNN refusing to air portions of the presidential press briefings on the Wuhan Virus. CNN isnâ€™tâ€¦,"Sentiment(polarity=0.2, subjectivity=1.0)",Positive,"-0.5,1.100000023841858",Negative
@byKateSmith @ReproRights Great! Killing babies! Just lump them in with the rest of the Corona virus deaths! Lord gave mercy!!,"Sentiment(polarity=1.0, subjectivity=0.75)",Positive,"0.10000000149011612,1.2000000476837158",Negative
"RT @jsolomonReports: About face on chloroquine. Nevada governor reverses decision, allows anti-malarial drugs for coronavirus inpatients htâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.30000001192092896",Neutral
"RT @JoeBiden: Today as we honor the life and legacy of civil rights and labor movement activist, CÃ©sar ChÃ¡vez, we also thank the more thanâ€¦","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.20000000298023224,0.20000000298023224",Positve
RT @ChiefBPartridge: You have the power to flatten the curve. Social distancing and good hygiene is the way. Do your part. #SocialDistancinâ€¦,"Sentiment(polarity=0.36666666666666664, subjectivity=0.33333333333333337)",Positive,"0.30000001192092896,1.2000000476837158",Positve
RT @chrislhayes: Another example (as if we needed any more!) of why you can't just let the virus do its thing. Imagine this number w no socâ€¦,"Sentiment(polarity=0.625, subjectivity=0.5)",Positive,"-0.4000000059604645,0.8999999761581421",Negative
RT @KatiePavlich: Dr. Birx says we were missing a significant amount of data from China. Sad she has to explain this obvious point to reporâ€¦,"Sentiment(polarity=-0.08125, subjectivity=0.60625)",Negative,"-0.699999988079071,1.5",Negative
@henrykleeKTVU @KTVU @UPS Why would that ups guy even take the handmade mask from the lady? How does he know if the mask is clean or made by clean hands? I thought FDA said masks won't protect us from getting covid. https://t.co/QQ9JxrKGAD,"Sentiment(polarity=0.3666666666666667, subjectivity=0.7000000000000001)",Negative,"-0.20000000298023224,1.600000023841858",Negative
"RT @suzydymna: @realDonaldTrump It's plain as day now, Democrats WANT people to suffer and even die JUST so the figures for Wuhan CoronaVirâ€¦","Sentiment(polarity=-0.21428571428571427, subjectivity=0.35714285714285715)",Negative,"-0.699999988079071,0.699999988079071",Negative
"@LaloDagach Testing has ramped up significantly, but it's the anatomy of a pandemic, social distancing isn't being observed.","Sentiment(polarity=0.20416666666666666, subjectivity=0.4708333333333333)",Negative,"0.0,0.0",Negative
Que en paz descanse https://t.co/JTDxlnjSVn,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.6000000238418579,0.6000000238418579",Positve
"RT @imagesbyeric: That is such bullshit @senatemajldr , it was republican propaganda that distracted people, just long enough for u senatorâ€¦","Sentiment(polarity=-0.037500000000000006, subjectivity=0.375)",Negative,"-0.8999999761581421,0.8999999761581421",Negative
this me afðŸ˜‚ðŸ˜‚ðŸ’¯ðŸ’¯ðŸ’¯ https://t.co/DfLCHIGgk3,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Neutral
"Coronavirus outbreak taking huge toll on Chinaâ€™s economy, World Bank warns - FRANCE 24 English https://t.co/QUFW7br5AD","Sentiment(polarity=0.20000000000000004, subjectivity=0.45)",Negative,"-0.800000011920929,0.800000011920929",Negative
RT @KatiePavlich: Mayors or governors threatening jail time for violations of stay-at-home orders while they let criminals out of jail becaâ€¦,"Sentiment(polarity=-0.1, subjectivity=0.0)",Negative,"-0.699999988079071,0.699999988079071",Negative
RT @terfhearse: this just in: nb people are immune to covid https://t.co/dcMMjLMs6e,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.30000001192092896,0.30000001192092896",Negative
RT @pushforward40: Things just aren't adding up when our government tells us to expect 100K to 200k coronavirus deaths within the next 2 weâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
"RT @news_flea: Why Didn't CDC Know This!?
@WeStand4theFlag
@kmc_usa
@aliatra1968
@koi529
@Shawna_7777
@riedamiani65
@LindaTerhune
@saturnguâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.6000000238418579",Neutral
Applications for Covid Relief Loans at 0.5 Percent Expected Friday https://t.co/TLBPKTT59f https://t.co/y6MWy5TsYy,"Sentiment(polarity=-0.1, subjectivity=0.4)",Positive,"0.0,0.0",Neutral
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment â€œdiverted the attention of the governâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
